Func Code,Function Description,Employment Status,Job Category,Line No,Salary Band,Hispanic/Latino Male,Hispanci/Latino Female,"Non Hispanic/Latino - Male, White","NonHispanic/Latino - Male, Black","NonHispanic/Latino - Male, Asian","NonHispanic/Latino - Male, NHOPI","NonHispanic/Latino - Male, Amer Ind","NonHispanic/Latino - Male, 2+ Races","Non Hispanic/Latino - Female, White","NonHispanic/Latino - Female, Black","NonHispanic/Latino - Female, Asian","NonHispanic/Latino - Female, NHOPI","NonHispanic/Latino - Female, Amer Ind","NonHispanic/Latino - Female, 2+ Races",Total,FY
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,53,33.0-42.9,,,2,,,,,,,,,,,,2,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,54,43.0-54.9,,,,1,,,,,,,,,,,1,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,55,55.0-69.9,11,,13,10,3,,,,,1,,,,,38,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,56,70.0 PLUS,52,,186,33,16,,1,5,,1,,,,,294,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,SERV/MAINT,60,25.0-32.9,12,5,1,6,,,2,,,8,1,,1,,36,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,SERV/MAINT,61,33.0-42.9,84,92,21,177,9,,3,1,5,76,6,,1,,475,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,SERV/MAINT,62,43.0-54.9,12,5,10,23,,,,,1,9,,,,,60,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,SERV/MAINT,63,55.0-69.9,9,,5,13,,,,,,5,,,,,32,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,SERV/MAINT,64,70.0 PLUS,16,1,12,15,5,,,,,1,,,,,50,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,1. FULL-TIME EMPLOYEES,TOTAL FULL TIME,65,,1582,1897,3879,1974,1426,12,23,120,3225,3207,1294,8,28,173,18848,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,2. OTHER THAN FULL-TIME EMPLOYEES,OFFICIAL/ADM,66,,3,2,18,7,,,,,11,8,,,,,49,2021
3,PUBLIC WELFARE,OTHER THAN FULL-TIME EMPLOYEES,TECHNICIANS,68,,,,1,,,,,,,,,,,,1,2023
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,2. OTHER THAN FULL-TIME EMPLOYEES,PROFESSIONALS,67,,20,22,160,31,14,,3,,204,58,26,,,4,542,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,2. OTHER THAN FULL-TIME EMPLOYEES,TECHNICIANS,68,,2,11,5,8,7,1,,1,12,16,3,1,,,67,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,2. OTHER THAN FULL-TIME EMPLOYEES,PROTECT/SRVCS,69,,,,,,,,,,,,,,,,0,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,2. OTHER THAN FULL-TIME EMPLOYEES,PARA-PROF,70,,27,33,53,28,29,,,3,74,41,31,1,3,5,328,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,2. OTHER THAN FULL-TIME EMPLOYEES,ADMIN SUPPORT,71,,29,36,30,52,9,,,3,34,79,10,,4,7,293,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,2. OTHER THAN FULL-TIME EMPLOYEES,SKILLED CRAFT,72,,,,1,,,,1,,,,,,,,2,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,2. OTHER THAN FULL-TIME EMPLOYEES,SERV/MAINT,73,,4,,,4,,,,,,2,1,,,,11,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,2. OTHER THAN FULL-TIME EMPLOYEES,TOTAL OTHER THAN F-T,74,,85,104,267,130,59,1,4,7,335,204,71,2,7,16,1292,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,3. NEW HIRES DURING FISCAL YEAR,OFFICIAL/ADM,75,,46,45,182,49,44,,,,8,135,73,45,,7,636,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,3. NEW HIRES DURING FISCAL YEAR,PROFESSIONALS,76,,52,30,87,34,45,,,1,7,64,33,33,,6,392,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,3. NEW HIRES DURING FISCAL YEAR,TECHNICIANS,77,,8,20,20,20,4,,,,3,16,36,8,,5,141,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,3. NEW HIRES DURING FISCAL YEAR,PROTECT/SRVCS,78,,1,4,14,2,3,,,,,3,4,2,,,33,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,3. NEW HIRES DURING FISCAL YEAR,PARA-PROF,79,,63,81,108,59,47,,,,5,164,73,50,2,13,666,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,3. NEW HIRES DURING FISCAL YEAR,ADMIN SUPPORT,80,,31,34,31,43,7,,,,4,36,53,9,3,6,257,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,3. NEW HIRES DURING FISCAL YEAR,SKILLED CRAFT,81,,1,,7,2,,,,,,,,,,,10,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,3. NEW HIRES DURING FISCAL YEAR,SERV/MAINT,82,,5,,1,,,,,,,,1,,,,7,2021
1,FINANCIAL ADMINISTRATION AND GENERAL CONTROL,3. NEW HIRES DURING FISCAL YEAR,TOTAL NEW HIRES,83,,207,214,450,209,150,0,,1,27,418,273,147,5,37,2142,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,7,55.0-69.9,1,2,,2,1,,,,1,4,1,,,,12,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,8,70.0 PLUS,56,128,155,153,57,,,4,195,382,49,,7,10,1196,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,PROFESSIONALS,13,33.0-42.9,12,54,11,64,25,,,,18,192,20,,2,3,401,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,PROFESSIONALS,14,43.0-54.9,210,709,140,760,187,1,5,13,335,2092,187,1,24,53,4717,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,PROFESSIONALS,15,55.0-69.9,168,635,136,528,105,,3,10,245,2215,130,2,21,45,4243,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,PROFESSIONALS,16,70.0 PLUS,165,360,423,511,270,3,3,13,474,1439,226,1,9,33,3930,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,TECHNICIANS,21,33.0-42.9,,2,,4,4,,,,2,7,1,,,,20,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,TECHNICIANS,22,43.0-54.9,15,27,15,49,20,,,2,14,74,16,,1,3,236,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,TECHNICIANS,23,55.0-69.9,25,68,34,142,12,,1,3,13,224,7,,1,3,533,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,TECHNICIANS,24,70.0 PLUS,5,19,11,32,2,,,,8,56,2,,,1,136,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,29,33.0-42.9,43,27,8,105,13,,,1,1,115,2,,,4,319,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,30,43.0-54.9,27,15,14,94,5,,,,2,93,,1,1,,252,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,31,55.0-69.9,51,16,54,73,3,,,2,7,42,,,,1,249,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,32,70.0 PLUS,5,,19,7,1,,,,1,2,,,,,35,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,PARA-PROF,36,25.0-32.9,1,,1,11,,,,1,,7,,,,,21,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,PARA-PROF,37,33.0-42.9,42,39,8,90,8,,,2,4,93,3,,2,6,297,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,PARA-PROF,38,43.0-54.9,38,94,10,69,18,,,3,13,173,20,,3,8,449,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,PARA-PROF,39,55.0-69.9,77,144,23,128,15,1,1,4,45,326,20,1,1,6,792,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,PARA-PROF,40,70.0 PLUS,18,48,13,24,5,1,,3,18,87,6,,,1,224,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,44,25.0-32.9,2,3,1,,1,,,,,5,,,,,12,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,45,33.0-42.9,24,120,16,76,13,,,1,39,389,37,1,1,10,727,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,46,43.0-54.9,25,130,22,108,16,,,4,61,483,57,,4,9,919,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,47,55.0-69.9,28,113,17,82,16,,,,32,491,32,,2,12,825,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,48,70.0 PLUS,1,14,,4,,,,,4,33,3,,,2,61,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,56,70.0 PLUS,14,1,73,29,6,,,3,1,1,,,,,128,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,SERV/MAINT,61,33.0-42.9,11,3,2,37,1,,,,,10,,,,1,65,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,SERV/MAINT,62,43.0-54.9,13,4,10,46,6,,,1,,11,,,,,91,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,SERV/MAINT,63,55.0-69.9,10,6,2,40,2,,,,,23,,,,1,84,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,SERV/MAINT,64,70.0 PLUS,7,,9,31,,,,1,,3,,,,,51,2021
3,PUBLIC WELFARE,1. FULL-TIME EMPLOYEES,TOTAL FULL TIME,65,,1099,2781,1233,3311,814,6,13,71,1533,9072,819,7,79,212,21050,2021
3,PUBLIC WELFARE,2. OTHER THAN FULL-TIME EMPLOYEES,OFFICIAL/ADM,66,,,,,,,,,,1,1,,,,,2,2021
3,PUBLIC WELFARE,2. OTHER THAN FULL-TIME EMPLOYEES,PROFESSIONALS,67,,2,4,5,4,4,,,,1,5,1,,,1,27,2021
3,PUBLIC WELFARE,2. OTHER THAN FULL-TIME EMPLOYEES,PARA-PROF,70,,,,,,1,,,,1,1,,,,,3,2021
3,PUBLIC WELFARE,2. OTHER THAN FULL-TIME EMPLOYEES,ADMIN SUPPORT,71,,1,,,1,1,,,,2,9,1,,,,15,2021
3,PUBLIC WELFARE,2. OTHER THAN FULL-TIME EMPLOYEES,TOTAL OTHER THAN F-T,74,,3,4,5,5,6,0,0,0,5,16,2,0,0,1,47,2021
3,PUBLIC WELFARE,3. NEW HIRES DURING FISCAL YEAR,OFFICIAL/ADM,75,,4,5,5,4,2,,,,13,10,,,,1,44,2021
3,PUBLIC WELFARE,3. NEW HIRES DURING FISCAL YEAR,PROFESSIONALS,76,,61,49,15,189,31,,1,4,34,116,15,,2,2,519,2021
3,PUBLIC WELFARE,3. NEW HIRES DURING FISCAL YEAR,PROTECT/SRVCS,78,,5,3,,8,2,,,1,,8,,,,,27,2021
3,PUBLIC WELFARE,3. NEW HIRES DURING FISCAL YEAR,PARA-PROF,79,,10,9,2,15,5,,,1,3,26,2,,1,2,76,2021
3,PUBLIC WELFARE,3. NEW HIRES DURING FISCAL YEAR,ADMIN SUPPORT,80,,,,,,,,,,2,2,,,,,4,2021
3,PUBLIC WELFARE,3. NEW HIRES DURING FISCAL YEAR,SKILLED CRAFT,81,,,,1,,,,,,,,,,,,1,2021
3,PUBLIC WELFARE,3. NEW HIRES DURING FISCAL YEAR,SERV/MAINT,82,,,,,1,,,,,,1,,,,,2,2021
3,PUBLIC WELFARE,3. NEW HIRES DURING FISCAL YEAR,TOTAL NEW HIRES,83,,80,66,23,217,40,0,1,6,52,163,17,0,3,5,673,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,7,55.0-69.9,,2,4,4,6,,,,,6,1,,1,,24,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,8,70.0 PLUS,1233,354,3213,623,555,4,24,25,341,359,46,1,12,8,6798,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,PROFESSIONALS,14,43.0-54.9,4,10,20,6,1,1,,,15,10,2,,,,69,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,PROFESSIONALS,15,55.0-69.9,26,24,63,29,29,,2,3,80,37,27,,,2,322,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,PROFESSIONALS,16,70.0 PLUS,51,41,238,49,82,,,7,205,93,66,,,4,836,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,TECHNICIANS,20,25.0-32.9,,,,,,,,,,4,,,,,4,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,TECHNICIANS,21,33.0-42.9,3,2,4,4,,,1,,1,7,1,,,,23,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,TECHNICIANS,22,43.0-54.9,5,10,8,6,,,,1,3,39,1,,,1,74,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,TECHNICIANS,23,55.0-69.9,1,3,1,1,1,,,,2,31,1,1,,,42,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,TECHNICIANS,24,70.0 PLUS,,,,1,,,,,1,5,,,,,7,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,28,25.0-32.9,,1,,,,,,,,,,,,,1,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,29,33.0-42.9,856,633,858,598,907,5,4,10,280,1002,176,1,1,16,5347,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,30,43.0-54.9,1359,1064,1538,1093,967,6,55,21,413,2035,190,,92,12,8845,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,31,55.0-69.9,577,246,968,281,297,1,4,3,177,207,47,,4,5,2817,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,32,70.0 PLUS,4134,1345,7557,2017,1307,10,47,42,954,967,112,2,31,21,18546,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,PARA-PROF,36,25.0-32.9,,1,1,,1,,,,,2,1,,,,6,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,PARA-PROF,37,33.0-42.9,,2,,1,2,,,,1,3,,,,,9,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,PARA-PROF,38,43.0-54.9,,1,1,,1,,,,1,4,1,,,,9,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,PARA-PROF,39,55.0-69.9,1,2,4,,,,,,1,6,,,,,14,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,PARA-PROF,40,70.0 PLUS,1,,,2,,,,,1,2,,,,,6,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,45,33.0-42.9,40,270,27,52,38,,1,5,105,546,55,,6,21,1166,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,46,43.0-54.9,33,346,39,102,43,1,1,1,184,1093,86,1,22,15,1967,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,47,55.0-69.9,8,99,14,22,9,,,,85,416,31,,10,8,702,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,48,70.0 PLUS,,21,,6,1,,,,10,73,2,,3,,116,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,53,33.0-42.9,9,,2,6,3,1,,1,,,,,,,22,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,54,43.0-54.9,7,,8,9,4,,3,1,,,,,,,32,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,55,55.0-69.9,10,,13,11,8,,1,,,1,,,,,44,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,56,70.0 PLUS,64,,299,57,49,,4,2,,1,,,,,476,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,SERV/MAINT,60,25.0-32.9,9,14,1,22,5,,,1,2,11,,,,2,67,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,SERV/MAINT,61,33.0-42.9,33,61,16,35,8,,,1,14,81,5,,,1,255,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,SERV/MAINT,62,43.0-54.9,17,6,8,18,2,,,,7,11,1,,,,70,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,SERV/MAINT,63,55.0-69.9,1,1,4,3,,,,,,2,,,,,11,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,SERV/MAINT,64,70.0 PLUS,5,,12,6,4,,,,,,,,,,27,2021
4,POLICE PROTECTION,1. FULL-TIME EMPLOYEES,TOTAL FULL TIME,65,,8487,4559,14921,5064,4330,29,147,124,2883,7054,852,6,182,116,48754,2021
4,POLICE PROTECTION,2. OTHER THAN FULL-TIME EMPLOYEES,OFFICIAL/ADM,66,,,,1,,,,,,,,,,,,1,2021
4,POLICE PROTECTION,2. OTHER THAN FULL-TIME EMPLOYEES,PROFESSIONALS,67,,4,1,5,1,,,,,1,,,,,1,13,2021
4,POLICE PROTECTION,2. OTHER THAN FULL-TIME EMPLOYEES,TECHNICIANS,68,,1,1,15,,,,,,3,2,,,,,22,2021
4,POLICE PROTECTION,2. OTHER THAN FULL-TIME EMPLOYEES,PROTECT/SRVCS,69,,88,705,64,60,50,1,1,4,477,687,174,3,10,7,2331,2021
4,POLICE PROTECTION,2. OTHER THAN FULL-TIME EMPLOYEES,PARA-PROF,70,,9,24,9,7,6,,,2,9,24,13,,1,5,109,2021
4,POLICE PROTECTION,2. OTHER THAN FULL-TIME EMPLOYEES,ADMIN SUPPORT,71,,,5,,,1,,,,,1,4,,,,11,2021
4,POLICE PROTECTION,2. OTHER THAN FULL-TIME EMPLOYEES,SERV/MAINT,73,,1,,,,,,,,,,,,,,1,2021
4,POLICE PROTECTION,2. OTHER THAN FULL-TIME EMPLOYEES,TOTAL OTHER THAN F-T,74,,103,736,94,68,57,1,1,6,490,714,191,3,11,13,2488,2021
4,POLICE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,OFFICIAL/ADM,75,,4,3,9,1,2,,,1,12,2,1,,,,35,2021
4,POLICE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,PROFESSIONALS,76,,8,2,19,8,8,,,3,31,5,6,,,1,91,2021
4,POLICE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,TECHNICIANS,77,,3,1,2,2,1,,1,,1,5,,,,,16,2021
4,POLICE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,PROTECT/SRVCS,78,,387,180,491,132,151,2,1,6,111,80,29,1,,4,1575,2021
4,POLICE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,PARA-PROF,79,,5,10,7,1,6,,,1,6,6,6,,,1,49,2021
4,POLICE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,ADMIN SUPPORT,80,,16,84,11,22,13,,,3,10,125,17,,1,8,310,2021
4,POLICE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,SKILLED CRAFT,81,,7,,13,4,3,,1,,,,,,,,28,2021
4,POLICE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,SERV/MAINT,82,,1,2,,5,,,,,3,,,,,,11,2021
4,POLICE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,TOTAL NEW HIRES,83,,431,282,552,175,184,2,3,14,174,223,59,1,1,14,2115,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,7,55.0-69.9,,2,,1,1,,,,,2,,,,,6,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,8,70.0 PLUS,158,5,2341,65,34,,5,15,35,14,10,,,2,2684,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,PROFESSIONALS,13,33.0-42.9,,,,,1,,,,,,1,,,,2,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,PROFESSIONALS,14,43.0-54.9,,,1,1,4,,,,,1,1,,,,8,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,PROFESSIONALS,15,55.0-69.9,8,4,16,4,11,,,,15,14,4,1,,,77,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,PROFESSIONALS,16,70.0 PLUS,24,22,98,32,72,,1,5,96,53,37,,,2,442,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,TECHNICIANS,20,25.0-32.9,,,1,,,,,,,,,,,,1,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,TECHNICIANS,21,33.0-42.9,289,83,588,113,48,1,2,28,91,71,8,1,,5,1328,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,TECHNICIANS,22,43.0-54.9,426,198,489,291,66,,4,11,142,186,12,,2,8,1835,2021
